"ElectID","Applicable_Spec","Standard","ActiveStatus","CreatedDate"
"13705","IEC-62353","ALTERNATIVE","True","10/29/2016 1:55:28 PM"
"13706","IEC-62353","ALTERNATIVE","True","10/29/2016 2:04:06 PM"
"13707","IEC-62353","ALTERNATIVE","True","10/29/2016 2:07:13 PM"
"13708","IEC-62353","ALTERNATIVE","True","10/29/2016 2:11:35 PM"
"13709","IEC-62353","ALTERNATIVE","True","10/29/2016 2:56:02 PM"
"13710","IEC-62353","ALTERNATIVE","True","10/29/2016 2:57:54 PM"
"13711","IEC-62353","ALTERNATIVE","True","10/29/2016 3:00:22 PM"
"13712","IEC-62353","ALTERNATIVE","True","10/29/2016 3:08:28 PM"
"13713","IEC-62353","ALTERNATIVE","True","10/29/2016 3:14:17 PM"
"13714","IEC-62353","ALTERNATIVE","True","10/29/2016 3:15:31 PM"
"13715","IEC-62353","ALTERNATIVE","True","10/29/2016 3:19:16 PM"
"13716","IEC-62353","ALTERNATIVE","True","10/31/2016 11:09:16 AM"
"13717","IEC-62353","ALTERNATIVE","True","10/31/2016 11:16:52 AM"
"13718","IEC-62353","ALTERNATIVE","True","10/31/2016 11:19:09 AM"
"13719","IEC-62353","ALTERNATIVE","True","10/31/2016 11:25:53 AM"
"13720","IEC-62353","ALTERNATIVE","True","10/31/2016 11:28:02 AM"
"13721","IEC-62353","ALTERNATIVE","True","10/31/2016 11:41:29 AM"
"13722","IEC-62353","ALTERNATIVE","True","10/31/2016 11:44:17 AM"
"13723","IEC-62353","ALTERNATIVE","True","10/31/2016 11:46:46 AM"
"13724","IEC-62353","ALTERNATIVE","True","10/31/2016 11:48:20 AM"
"13725","IEC-62353","ALTERNATIVE","True","10/31/2016 11:51:19 AM"
"13726","IEC-62353","ALTERNATIVE","True","10/31/2016 11:54:21 AM"
"13727","IEC-62353","ALTERNATIVE","True","10/31/2016 12:28:06 PM"
"13728","IEC-62353","ALTERNATIVE","True","10/31/2016 12:57:24 PM"
"13729","IEC-62353","ALTERNATIVE","True","10/31/2016 12:59:10 PM"
"13730","IEC-62353","ALTERNATIVE","True","10/31/2016 1:09:04 PM"
"13731","IEC-62353","ALTERNATIVE","True","10/31/2016 1:14:53 PM"
"13732","IEC-62353","ALTERNATIVE","True","10/31/2016 1:19:19 PM"
"13733","IEC-62353","ALTERNATIVE","True","10/31/2016 1:21:41 PM"
"13734","IEC-62353","ALTERNATIVE","True","10/31/2016 1:25:32 PM"
"13735","IEC-62353","ALTERNATIVE","True","10/31/2016 1:27:25 PM"
"13736","IEC-62353","ALTERNATIVE","True","10/31/2016 2:43:04 PM"
"13737","IEC-62353","ALTERNATIVE","True","10/31/2016 2:55:52 PM"
"13738","IEC-62353","ALTERNATIVE","True","11/1/2016 11:21:02 AM"
"13739","IEC62353","ALTERNATIVE","True","11/10/2016 10:32:39 AM"
"13740","IEC-62353","ALTERNATIVE","True","11/10/2016 10:46:03 AM"
"13741","IEC-62353","ALTERNATIVE","True","11/10/2016 1:18:04 PM"
"13742","IEC-62353","ALTERNATIVE","True","11/10/2016 1:22:23 PM"
"13743","IEC-62353","ALTERNATIVE","True","11/10/2016 2:48:59 PM"
"13744","IEC-62353","ALTERNATIVE","True","11/10/2016 2:57:48 PM"
"13745","IEC-62353","ALTERNATIVE","True","11/10/2016 3:21:28 PM"
"13746","IEC-62353","ALTERNATIVE","True","11/10/2016 3:45:25 PM"
"13747","IEC-62353","ALTERNATIVE","True","11/10/2016 4:30:01 PM"
"13748","IEC-62353","ALTERNATIVE","True","11/14/2016 11:49:28 AM"
"13749","IEC-62353","ALTERNATIVE","True","11/14/2016 12:39:22 PM"
"13750","IEC-62353","ALTERNATIVE","True","11/14/2016 1:36:05 PM"
"13751","IEC-62353","ALTERNATIVE","True","11/14/2016 1:39:30 PM"
"13752","IEC-62353","ALTERNATIVE","True","11/14/2016 1:46:12 PM"
"13753","IEC-62353","ALTERNATIVE","True","11/14/2016 1:55:55 PM"
"13754","IEC-62353","ALTERNATIVE","True","11/14/2016 2:05:50 PM"
"13755","IEC-62353","ALTERNATIVE","True","11/14/2016 2:13:27 PM"
"13756","IEC-62353","ALTERNATIVE","True","11/14/2016 2:44:18 PM"
"13757","IEC-62353","ALTERNATIVE","True","11/14/2016 2:56:07 PM"
"13758","IEC-62353","ALTERNATIVE","True","11/14/2016 3:26:31 PM"
"13759","IEC-62353","ALTERNATIVE","True","11/14/2016 4:25:23 PM"
"13760","IEC-62353","ALTERNATIVE","True","11/14/2016 4:29:06 PM"
"13761","IEC-62353","ALTERNATIVE","True","11/15/2016 11:13:41 AM"
"13762","IEC-62353","ALTERNATIVE","True","11/15/2016 11:26:11 AM"
"13763","IEC-62353","ALTERNATIVE","True","11/15/2016 11:35:00 AM"
"13764","IEC-62353","ALTERNATIVE","True","11/15/2016 11:41:16 AM"
"13765","IEC-62353","ALTERNATIVE","True","11/15/2016 11:47:07 AM"
